checkpoint,mean_perplexity
100,1795.118944344064
200,2245.1240903838993
300,2447.5123338845005
10,1174.982518713066
110,1948.296070570589
210,2390.607702310106
310,2447.4385730156737
20,1326.7626437829404
120,2114.6872969022083
220,2466.623125331765
30,1380.8074576249699
130,2131.4268131909616
230,2311.62739828204
40,1529.3249759526957
140,2104.757869510556
240,2432.085691095817
50,1514.3905503225985
150,2210.4727530506657
250,2437.9675589116932
60,1653.4345772268523
160,2134.6176781370423
260,2404.797537482103
70,1643.4101578238508
170,2101.5194538936803
270,2393.8370415321215
80,1709.2517204717394
180,2238.184578835991
280,2440.6854130165275
90,1832.836755615211
190,2211.786080380226
290,2462.461381650926
