checkpoint,percentage_from_total_masked,percentage_from_seen_masked,emails_leaked_masked,percentage_from_total_original,percentage_from_seen_original,emails_leaked_original
10,0.00854920064973925,0.088261253309797,2,0.04274600324869624,0.17117425539198905,10
20,0.0170984012994785,0.09053870529651425,4,0.08121740617252286,0.2016342990555025,19
30,0.0170984012994785,0.05928560841855639,4,0.10259040779687098,0.19699581383895592,24
40,0.029922202274087373,0.07773459189339256,7,0.13251261007095838,0.21408839779005523,31
50,0.029922202274087373,0.06132819344664447,7,0.16243481234504573,0.2332433095998036,38
60,0.034196802598957,0.05891450033139406,8,0.22655381721809012,0.29837302257501547,53
70,0.03847140292382662,0.05725555060754501,9,0.28212362144139524,0.34387537122909395,66
80,0.04702060357356587,0.06175958677221942,11,0.37189022826365736,0.42352253918800503,87
90,0.04702060357356587,0.0556877436338784,11,0.3975378302128751,0.4288876591034865,93
100,0.04702060357356587,0.05038706426641015,11,0.44028383346157135,0.45384445913196736,103
110,0.04702060357356587,0.0503547722590982,11,0.4873044370351372,0.5019815059445178,114
120,0.04702060357356587,0.0503547722590982,11,0.5385996409335727,0.5548216644649934,126
130,0.04702060357356587,0.0503547722590982,11,0.5770710438573993,0.59445178335535,135
140,0.04702060357356587,0.0503547722590982,11,0.6240916474309652,0.6428885953324527,146
150,0.04702060357356587,0.0503547722590982,11,0.6967598529537488,0.7177454865697931,163
160,0.04702060357356587,0.0503547722590982,11,0.7095836539283578,0.7309555261999119,166
170,0.05129520389843549,0.05493247882810712,12,0.7224074549029667,0.7441655658300308,169
180,0.055569804223305125,0.05951018539711605,13,0.7437804565273147,0.7661822985468956,174
190,0.055569804223305125,0.05951018539711605,13,0.7865264597760109,0.8102157639806253,184
200,0.055569804223305125,0.05951018539711605,13,0.8292724630247071,0.8542492294143549,194
210,0.068393605197914,0.07324330510414283,16,0.8378216636744463,0.8630559225011007,196
220,0.068393605197914,0.07324330510414283,16,0.8591946652987946,0.8850726552179656,201
230,0.068393605197914,0.07324330510414283,16,0.8848422672480124,0.9114927344782034,207
240,0.068393605197914,0.07324330510414283,16,0.8848422672480124,0.9114927344782034,207
250,0.068393605197914,0.07324330510414283,16,0.9190390698469694,0.946719506825187,215
260,0.07266820552278362,0.07782101167315175,17,0.9275882704967086,0.9555261999119331,217
270,0.07266820552278362,0.07782101167315175,17,0.9361374711464479,0.9643328929986791,219
280,0.07266820552278362,0.07782101167315175,17,0.944686671796187,0.973139586085425,221
290,0.07694280584765324,0.08239871824216068,18,0.944686671796187,0.973139586085425,221
300,0.07694280584765324,0.08239871824216068,18,0.944686671796187,0.973139586085425,221
